"","output_JJ1715_393_S43_R1_001.fastq_paired.fq_quant","output_JJ1715_394_S44_R1_001.fastq_paired.fq_quant"
"1700022I11Rik",4,4
"1700023F06Rik",2,4
"1700024G13Rik",0,0
"1700024P04Rik",0,0
"1700024P16Rik",121,231.942
"1700025B11Rik",0,0
"1700025C18Rik",0,0
"1700025F22Rik",0,0
"1700025G04Rik",764.803,1155.051
"1700027J19Rik",1424.506,1287.879
"1700028K03Rik",4,2
"1700028P14Rik",0,0
"1700029F12Rik",0,0
"1700029H14Rik",0,0
"1700029I15Rik",23,15
"1700029J07Rik",20,16
"1700030J22Rik",20,22
"1700030K09Rik",59,59.818
"1700031F05Rik",0,0
"1700031M16Rik",0,0
"1700034E13Rik",0,0
"1700034I23Rik",0,0
"1700034J05Rik",0,1
"1700034O15Rik",0,0
"1700037C18Rik",50.813,69.196
"1700037H04Rik",217.029,341.311
"1700040L02Rik",40.207,84
"1700042G07Rik",0,0
"1700048O20Rik",5,12
"1700056E22Rik",12,20
"1700057G04Rik",0,0
"1700061G19Rik",6,14
"1700064H15Rik",3.077,0
"1700066B19Rik",229.26,465
"1700066M21Rik",146.965,168
"1700067K01Rik",1,1
"1700067P10Rik",0,0
"1700069L16Rik",0,0
"1700074P13Rik",0,0
"1700080E11Rik",0,0
"1700080O16Rik",0,0
"1700086D15Rik",0,0
"1700088E04Rik",18,42.777
"1700092M07Rik",0,1
"1700093K21Rik",0,0
"1700102P08Rik",12,22
"1700109H08Rik",8,8
"1700112E06Rik",19,3
"1700113H08Rik",0,0
"1700122O11Rik",1,0
"1700123K08Rik",0,0
"1700123L14Rik",0,0
"1700123O20Rik",735.786,784.606
"1700125H20Rik",0,0
"1700128F08Rik",13,11
"1700129C05Rik",0,0
"1810009A15Rik",306.431,576.801
"1810009J06Rik",0,0
"1810011H11Rik",31,34
"1810011O10Rik",2085.79,2023.286
"1810013L24Rik",1535.693,1404.673
"1810022K09Rik",682.985,912.076
"1810024B03Rik",14,20.013
"1810026J23Rik",935.663,966.912
"1810030O07Rik",1034.036,1029.696
"1810032O08Rik",65.007,77
"1810037I17Rik",1303.941,2029.273
"1810041L15Rik",446.665,654.05
"1810043G02Rik",71,79.183
"1810043H04Rik",159,220
"1810046K07Rik",46,210.718
"1810049J17Rik",1,1.002
"1810055G02Rik",690.615,507.871
"1810062G17Rik",8,10
"1810065E05Rik",1144.574,530.972
"2010003K11Rik",1172.004,1231.692
"2010005H15Rik",34,12
"2010106E10Rik",4449.858,1454.846
"2010107E04Rik",2651.3,4187.541
"2010107G23Rik",248,214.414
"2010109A12Rik",1,2
"2010109I03Rik",7290.113,10662.574
"2010111I01Rik",434.556,658.909
"2010300C02Rik",1103.188,1144.622
"2010315B03Rik",735.95,667.507
"2200002D01Rik",3547.925,3856.749
"2200002J24Rik",2,3
"2210010C04Rik",0,0
"2210011C24Rik",48,78
"2210013O21Rik",163,219.651
"2210016F16Rik",2894.559,2858.936
"2210016L21Rik",312.366,517.03
"2210017I01Rik",1.013,1.973
"2210407C18Rik",1549.746,2302.564
"2210408I21Rik",32,51.028
"2300002M23Rik",0,0
"2300003K06Rik",0,0
"2300009A05Rik",90,158.605
"2310002L09Rik",0,0
"2310003L06Rik",0,0
"2310007B03Rik",236.171,143
"2310009B15Rik",37.001,61.021
"2310011J03Rik",663.349,719.11
"2310022A10Rik",245.1,257.519
"2310022B05Rik",894.381,1237.061
"2310030G06Rik",451.389,518.305
"2310033P09Rik",244,308.047
"2310034C09Rik",0,0
"2310035C23Rik",1287.497,1426.765
"2310036O22Rik",1350.548,1901.054
"2310039H08Rik",163.13,275.856
"2310046K23Rik",0,0
"2310050C09Rik",0,0
"2310057J18Rik",0,0
"2310057M21Rik",119.043,160.001
"2310057N15Rik",0,0
"2310061I04Rik",761.114,878.516
"2310061N02Rik",0,0
"2310079G19Rik",0,0
"2410002F23Rik",285,305.82
"2410004B18Rik",503.02,504.83
"2410004P03Rik",11.042,16.057
"2410015M20Rik",759.172,1000.028
"2410016O06Rik",327.319,360.025
"2410089E03Rik",156.013,148.002
"2410131K14Rik",230.425,243.756
"2410137M14Rik",0,0
"2510002D24Rik",257.627,399.051
"2510009E07Rik",506.764,548.039
"2510039O18Rik",1934.889,2080.425
"2610001J05Rik",489.192,675.156
"2610002M06Rik",1034.592,975.596
"2610008E11Rik",410.062,414.488
"2610020H08Rik",88.561,63.109
"2610028H24Rik",0,0
"2610301B20Rik",131.027,157
"2610318N02Rik",44.434,75
"2610507B11Rik",5499.116,6507.172
"2610524H06Rik",43.585,65.876
"2610528A11Rik",210.976,409
"2610528J11Rik",895.361,1056.948
"2700049A03Rik",180,205.005
"2700060E02Rik",2634.263,3782.893
"2700062C07Rik",192.413,258.009
"2700081O15Rik",229.019,270
"2700094K13Rik",206.004,312.951
"2700097O09Rik",289.199,341.436
"2810004N23Rik",305.521,377.351
"2810006K23Rik",163.744,210.949
"2810021J22Rik",114.053,98.06
"2810403A07Rik",1196.393,1239.652
"2810408A11Rik",220.001,169.621
"2810417H13Rik",1370.398,2221.189
"2810428I15Rik",359.763,481.218
"2810459M11Rik",272.017,362.134
"2810474O19Rik",2453.29,1721.246
"2900011O08Rik",18.002,13.001
"2900026A02Rik",7344.945,5082.765
"2900055J20Rik",0,0
"2900092C05Rik",0,0
"3010026O09Rik",36.001,56.099
"3100002H09Rik",0,0
"3110001I22Rik",88.315,71.211
"3110002H16Rik",552.528,750.07
"3110009E18Rik",31.02,49.408
"3110018I06Rik",0,0
"3110021N24Rik",8,5
"3110035E14Rik",0,1
"3110040N11Rik",200.001,337.448
"3110043O21Rik",315.09,394
"3110062M04Rik",69.036,93
"3110070M22Rik",19,19
"3110079O15Rik",0,0
"3110082I17Rik",100.001,171
"3110082J24Rik",0,0
"3425401B19Rik",7.001,10
"3632451O06Rik",186.007,205.996
"3830406C13Rik",631.479,776.504
"3830408C21Rik",6,3
"3830417A13Rik",1,4
"4430402I18Rik",22,38.004
"4833420G17Rik",1044.466,880.44
"4833423E24Rik",3,39
"4833427G06Rik",0,0
"4833439L19Rik",1847.933,1637.567
"4921501E09Rik",0,0
"4921504E06Rik",0,0
"4921507P07Rik",19,18
"4921508M14Rik",0,0
"4921511C20Rik",0,0
"4921511H03Rik",0,0
"4921513D11Rik",0,0
"4921513I03Rik",0,0
"4921517D22Rik",13,7
"4921524J17Rik",191.201,213.003
"4921524L21Rik",0,0
"4921530L21Rik",0,0
"4921536K21Rik",19,29
"4921539E11Rik",1,0
"4922502D21Rik",0,0
"4930402F06Rik",0,0
"4930402H24Rik",425.33,376.999
"4930402K13Rik",0,0
"4930404H24Rik",0,0
"4930404N11Rik",9,34
"4930407I10Rik",0,0
"4930408O17Rik",0,0
"4930412O13Rik",0,0
"4930415L06Rik",0,0
"4930415O20Rik",35,55
"4930426L09Rik",10,18
"4930427A07Rik",256.816,443.815
"4930430A15Rik",0,0
"4930430F08Rik",86.998,115.386
"4930432K21Rik",0,3
"4930432M17Rik",0,0
"4930435E12Rik",0,0
"4930442H23Rik",0,0
"4930444P10Rik",1,1
"4930447A16Rik",0,0
"4930447C04Rik",1,0
"4930447F04Rik",0,0
"4930449I24Rik",0,0
"4930451G09Rik",2,4
"4930451I11Rik",0,0
"4930452B06Rik",3,3
"4930453N24Rik",824.03,998.971
"4930455H04Rik",0,0
"4930470P17Rik",0,0
"4930474N05Rik",0,0
"4930480E11Rik",0,0
"4930486L24Rik",9,9
"4930502E18Rik",0,0
"4930503B20Rik",0,0
"4930503L19Rik",58,55
"4930504O13Rik",0,0
"4930505A04Rik",0,0
"4930507D05Rik",3,1
"4930513O06Rik",0,0
"4930518I15Rik",21,27
"4930519G04Rik",5.045,0
"4930519P11Rik",0,2
"4930522H14Rik",0,0
"4930522L14Rik",113.721,110.934
"4930523C07Rik",234.003,249.205
"4930524B15Rik",0,0
"4930524J08Rik",2,4
"4930533K18Rik",0,0
"4930535I16Rik",0,0
"4930538K18Rik",3.394,1.246
"4930539E08Rik",3157.405,1860.927
"4930544D05Rik",0,0
"4930544G11Rik",0,0
"4930546C10Rik",0,0
"4930548H24Rik",0,11.042
"4930549C01Rik",0,0
"4930550C14Rik",4,11
"4930550L24Rik",0,2
"4930553M12Rik",0,0
"4930556J24Rik",0,1
"4930557A04Rik",0,0
"4930558K02Rik",0,0
"4930562C15Rik",0,0
"4930563D23Rik",0,0
"4930563I02Rik",0,0
"4930563M21Rik",0,0
"4930564D02Rik",0,0
"4930568D16Rik",0,0
"4930578C19Rik",14,8
"4930578G10Rik",0,0
"4930578I06Rik",0,0
"4930579F01Rik",0,0
"4930579G24Rik",56.665,75.985
"4930583I09Rik",0,0
"4930590J08Rik",10,8
"4930595D18Rik",0,0
"4930595M18Rik",0,0
"4930596D02Rik",0,0
"4931400O07Rik",0,0
"4931406B18Rik",5,3.999
"4931406C07Rik",4299.266,3556.26
"4931406P16Rik",659.98,569.884
"4931408C20Rik",0,0
"4931409K22Rik",0,0
"4931414P19Rik",141.044,172.855
"4931417E11Rik",0,0
"4931422A03Rik",0,2
"4931423N10Rik",1,1
"4931428F04Rik",38.059,81.486
"4931428L18Rik",0,0
"4931429L15Rik",1,1
"4931431F19Rik",0,0
"4932411N23Rik",0,0
"4932414N04Rik",0,0
"4932415D10Rik",0,0
"4932429P05Rik",0,0
"4932438A13Rik",3641.236,2430.46
"4932438H23Rik",20,35
"4932443I19Rik",1,2
"4933400A11Rik",0,0
"4933402D24Rik",0,0
"4933402E13Rik",0,0
"4933402J07Rik",0,0
"4933402N03Rik",0,0
"4933402P03Rik",0,0
"4933403O08Rik",0,0
"4933405L10Rik",0,0
"4933405O20Rik",0,0
"4933406M09Rik",0,0
"4933406P04Rik",11,13.072
"4933407L21Rik",1,4
"4933408B17Rik",10,9
"4933408J17Rik",1,1
"4933409G03Rik",0,0
"4933411G06Rik",0,0
"4933411K16Rik",0,1
"4933412E24Rik",0,0
"4933413G19Rik",1.03,1.007
"4933414I15Rik",0,0
"4933415A04Rik",79.039,122.744
"4933415F23Rik",0,0
"4933416C03Rik",0,0
"4933417A18Rik",0,0
"4933425L06Rik",0,0
"4933427D14Rik",271.002,222.525
"4933427I04Rik",0,2.648
"4933428G20Rik",0,0
"4933428M09Rik",0,0
"4933430I17Rik",2,5
"4933434E20Rik",1136.136,1419.83
"4933436I01Rik",0,0
"5031414D18Rik",22,27
"5031439G07Rik",1061.165,1095.03
"5330417C22Rik",2581.855,3231.202
"5330417H12Rik",0,0
"5430402E10Rik",0,0
"5430419D17Rik",0,0
"5430427O19Rik",37,25
"5530400C23Rik",0,0
"5530401A14Rik",1.001,3.002
"5730409E04Rik",204.007,232
"5730455P16Rik",268.041,314.04
"5730480H06Rik",187.707,196.001
"5730508B09Rik",387.897,424
"5730522E02Rik",3,3
"5730559C18Rik",1497.9,1833.19
"5730596B20Rik",0,4
"5830411N06Rik",7,1
"5830454E08Rik",9,15
"5830473C10Rik",0,0
"5930422O12Rik",0,0
"6030419C18Rik",29.001,47
"6030445D17Rik",25,21
"6030452D12Rik",0,0
"6030458C11Rik",602.157,698.908
"6030468B19Rik",0,0
"6030469F06Rik",0,0
"6030498E09Rik",0,0
"6330408A02Rik",130,194.009
"6330409D20Rik",1,0
"6430531B16Rik",1,0
"6430548M08Rik",501.063,692.579
"6430550D23Rik",16,20.001
"6430571L13Rik",0,3
"6430573F11Rik",35,32
"6430628N08Rik",0,0
"6720489N17Rik",132.364,125.95
"6820408C15Rik",0,1
"7420426K07Rik",0,0
"7420461P10Rik",0,0
"7530416G11Rik",0,0
"8030411F24Rik",0,0
"8030423J24Rik",0,0
"8030462N17Rik",193,214
"8030474K03Rik",1,0
"8430408G22Rik",97.08,77
"9030612E09Rik",8,6
"9030617O03Rik",796.863,739.893
"9030624J02Rik",1262.868,1533.363
"9130008F23Rik",230.141,669.794
"9130011E15Rik",428.013,345.058
"9130023H24Rik",208.161,196.009
"9130204L05Rik",0,0
"9130213A22Rik",6,3
"9130230L23Rik",207.482,280.949
"9130401M01Rik",199.652,224.814
"9130409I23Rik",1,0
"9230019H11Rik",0,0
"9230102O04Rik",0,0
"9230104L09Rik",0,0
"9230104M06Rik",0,1
"9230109A22Rik",0,0
"9230110C19Rik",22,27.003
"9230110F15Rik",0,0
"9230112D13Rik",0,1
"9230113P08Rik",0,0
"9330151L19Rik",82,76.076
"9330159F19Rik",49,29.277
"9330161L09Rik",1,2
"9330182L06Rik",85.016,74.029
"9330182O14Rik",1,0
"9430007A20Rik",0,0
"9430015G10Rik",182.888,211
"9430016H08Rik",420.159,506.22
"9430020K01Rik",436.105,409
"9430038I01Rik",253.001,303
"9430069I07Rik",0,0
"9430076C15Rik",80.007,82.047
"9430097D07Rik",0,0
"9530002B09Rik",0,0
"9530003J23Rik",0,0
"9530053A07Rik",7194.67,6069.102
"9530068E07Rik",2664.306,3295.246
"9530077C05Rik",40,30
"9630041A04Rik",0,0
"9930012K11Rik",76,47
"9930021J03Rik",1202.924,1252.064
"9930022D16Rik",1,1
"a",1,2
"A130010J15Rik",353.248,329.406
"A130051J06Rik",20,26
"A1bg",0,0
"A1cf",1708.685,862.076
"A230046K03Rik",721.14,654.663
"A230050P20Rik",150.98,209.839
"A230065H16Rik",1,3
"A230072I06Rik",0,0
"A2m",0,1
"A330017A19Rik",0,4
"A330070K13Rik",0,0
"A3galt2",4,1
"A430005L14Rik",383.245,436.778
"A430033K04Rik",141.029,142.16
"A430078G23Rik",7.999,9.01
"A430105I19Rik",342.143,481.137
"A4galt",271.156,427.82
"A4gnt",134.013,449.917
"A530016L24Rik",1,4
"A530084C06Rik",10,8
"A530099J19Rik",18,23
"A630001G21Rik",37,41.003
"A630010A05Rik",6,9
"A630023A22Rik",0,3
"A630033H20Rik",5,4
"A630073D07Rik",0,0
"A630076J17Rik",0,0
"A630095E13Rik",0,3
"A630095N17Rik",0,0
"A730015C16Rik",0,1
"A730017C20Rik",22,21.675
"A730018C14Rik",0,0
"A730049H05Rik",0,1
"A730061H03Rik",1,1
"A730071L15Rik",2,3
"A830005F24Rik",4,1
"A830018L16Rik",6,6.001
"A830031A19Rik",0,0
"A830080D01Rik",244,219.092
"A930002H24Rik",2,1
"A930003A15Rik",1,14
"A930004D18Rik",20,14
"A930009A15Rik",0,0
"A930017K11Rik",1,0
"A930018M24Rik",0,3
"A930018P22Rik",0,1
"A930033H14Rik",20,19
"AA415398",42,47
"AA467197",4548.269,20798.025
"AA986860",3768.063,2290.39
"Aaas",178.901,280.753
"Aacs",1018.361,2671.289
"Aadac",57,22
"Aadacl2",0,0
"Aadacl3",0,0
"Aadat",0,0
"Aaed1",247.027,260.007
"Aagab",998.445,977.031
"Aak1",1480.479,1220.875
"Aamdc",1129.958,1025.402
"Aamp",2430.416,2836.387
"Aanat",0,0
"Aar2",644.308,773.148
"Aard",29,29
"Aars",3025.15,3241.968
"Aars2",150,260.306
"Aarsd1",333.248,510.968
"Aasdh",149.001,137.943
"Aasdhppt",401.631,530
"Aass",43,57
"Aatf",355.047,460.753
"Aatk",90.435,101.014
"AB124611",23,23
"Abat",2984.373,2591.799
"Abca1",590.863,415
"Abca12",148.002,59.001
"Abca13",1,3
"Abca14",6,8
"Abca15",0,0
"Abca16",0,0
"Abca17",0,0
"Abca2",253.487,288.33
"Abca3",1233.83,1175.287
"Abca4",4,2
"Abca6",10.171,4
"Abca7",900.2,831.726
"Abca8a",346.044,210.003
"Abca8b",159,106
"Abca9",148.312,126
"Abcb10",1117.337,1175.586
"Abcb11",1,7
"Abcb1a",6075.737,2885.779
"Abcb4",1,3
"Abcb5",0,0
"Abcb6",734.252,643.649
"Abcb7",1901.044,1837.754
"Abcb8",674.52,793.098
"Abcb9",135.979,253.897
"Abcc1",321.936,610.072
"Abcc10",301.85,277.178
"Abcc12",1,0
"Abcc2",1969.343,342.401
"Abcc3",1938.633,1688.647
"Abcc4",264,306.649
"Abcc5",267,288.06
"Abcc6",162.17,106.424
"Abcc8",30,37
"Abcc9",1354.238,1714.108
"Abcd1",1370.638,1028.252
"Abcd2",43.009,47.078
"Abcd3",7764.511,4467.649
"Abcd4",395.339,447.775
"Abce1",1815.041,2609.589
"Abcf1",2784.979,3286.471
"Abcf2",755.127,950.898
"Abcf3",938.471,984.832
"Abcg1",147,190.989
"Abcg2",8902.255,5842.1
"Abcg3",165.02,141.668
"Abcg4",17,29
"Abcg5",3077.936,1596.841
"Abcg8",2809.215,1407.39
"Abhd10",237.101,303.986
"Abhd11",979.545,1345.718
"Abhd12",2592.642,2610.369
"Abhd12b",0,0
"Abhd13",1483.11,1688.224
"Abhd14a",338,436.053
"Abhd14b",965.711,1097.083
"Abhd15",46,13.032
"Abhd16a",629.527,672.045
"Abhd16b",0,0
"Abhd17a",610.298,831.883
"Abhd17b",1125.525,1561.497
"Abhd17c",4169.997,3825.446
"Abhd18",497.593,304.728
"Abhd2",11118,9981.986
"Abhd3",1576.517,961.961
"Abhd4",1160.683,1302.79
"Abhd5",591.702,650.638
"Abhd6",1666.42,586.414
"Abhd8",140.516,167
"Abi1",3431.591,3201.826
"Abi2",250.122,305.005
"Abi3",382.019,303.999
"Abi3bp",757.979,615.783
"Abl1",1758.96,1504.28
"Abl2",546.172,596.022
"Ablim1",2405.666,1626.713
"Ablim2",111.002,176.18
"Ablim3",119.109,134
"Abo",0,2
"Abr",6913.723,4812.03
"Abra",6,8
"Abracl",1078.879,1859.372
"Abt1",280.092,321.001
"Abtb1",328,364.008
"Abtb2",45.03,54
"Acaa1b",1526.673,994.14
"Acaa2",2417.037,1633.053
"Acacb",397.983,197.84
"Acad11",1415.777,767.945
"Acad8",510.252,588.344
"Acad9",718.219,985.094
"Acadl",3323.268,3124.9
"Acadm",3712.747,3400.886
"Acads",1458.153,1413.251
"Acadsb",691.461,837.323
"Acadvl",3991.174,3659.463
"Acan",0,0
"Acap1",174.119,112.001
"Acap2",2342.978,1794.342
"Acap3",155.652,134.002
"Acat1",2517.287,3308.037
"Acat3",454.059,947.587
"Acbd3",1693.512,1916.143
"Acbd4",1317.541,1022.463
"Acbd5",1911.816,1537.162
"Acbd6",361.171,561.293
"Acbd7",2,1
"Accs",103.042,98.999
"Accsl",0,0
"Acd",199.67,299.018
"Ace",8362.584,4792.956
"Ace2",31869.634,16631.195
"Ace3",1,0
"Acer1",366.016,225.019
"Acer2",545.036,622.643
"Acer3",197,271.948
"Ache",108,155
"Acin1",3343.3,3630.649
"Ackr1",70.513,76.138
"Ackr2",19.001,34
"Ackr3",169.967,263
"Ackr4",231.05,253.031
"Acly",2813.465,4046.436
"Acmsd",1.189,3.033
"Acnat2",59.274,19.547
"Aco1",3274.728,2835.65
"Aco2",9771.062,11685.596
"Acod1",4,2
"Acot1",183,67.495
"Acot10",0,0
"Acot11",1016.081,1142.884
"Acot12",214,5
"Acot13",683.766,842
"Acot3",0,0
"Acot4",524.748,394.884
"Acot5",3,7
"Acot6",63,73
"Acot7",1064.467,2085.642
"Acot8",407,441.023
"Acot9",949.248,1405.965
"Acox1",11747.564,5247.136
"Acox2",120.008,76
"Acox3",1057.613,1121.273
"Acoxl",7,5
"Acp1",313.007,446.044
"Acp2",1156.087,1135.975
"Acp5",2361.246,2295.257
"Acp6",1437.672,1253.721
"Acp7",0,0
"Acpp",555.968,570.529
"Acpt",0,0
"Acr",0,4
"Acrbp",92.001,88.224
"Acrv1",0,0
"Acsbg1",36,37
"Acsbg2",0,0
"Acsf2",1125.218,1045.633
"Acsf3",589.815,700.563
"Acsl1",897.061,1409.531
"Acsl3",1050.755,1617.281
"Acsl4",369.012,629.816
"Acsl5",22314.408,16833.046
"Acsl6",58,82
"Acsm1",0,0
"Acsm2",1,0
"Acsm3",496.097,574.071
"Acsm4",0,0
"Acsm5",10,5
"Acss1",2067.205,4767.014
"Acss2",727.434,1254.627
"Acss3",12,29
"Acta1",669.432,118.078
"Acta2",20042.354,34287.923
"Actb",97930.665,128336.819
"Actbl2",0,0
"Actc1",32.355,59.483
"Actg2",10501.303,34261.454
"Actl10",0,0
"Actl11",1,0
"Actl6a",886.725,1308.056
"Actl6b",5,16
"Actl7a",0,0
"Actl7b",0,0
"Actl9",0,0
"Actn1",3489.896,6200.415
"Actn3",5,5
"Actn4",17619.433,14240.538
"Actr10",1362.493,1643.75
"Actr1a",4014.25,4814.222
"Actr1b",1989.637,2458.894
"Actr2",8452.041,9371.272
"Actr3b",20,29
"Actr5",128,199.118
"Actr6",121,163
"Actr8",565.299,650.235
"Actrt1",0,0
"Actrt2",0,0
"Actrt3",2,0
"Acvr1",564.424,613.604
"Acvr1b",1718.727,1560.688
"Acvr1c",54,24
"Acvr2a",1494.666,1035.454
"Acvr2b",36,27
"Acvrl1",637.042,571.186
"Acy1",1380.637,1236.521
"Acy3",384.172,328.405
"Acyp1",110,122
"Acyp2",60.993,68
"Ada",5864.883,2498.132
"Adad1",2,0
"Adad2",1,0
"Adal",192.193,177.369
"Adam10",4420.628,5095.667
"Adam11",70,93.005
"Adam12",36.626,26.99
"Adam15",685.874,838.035
"Adam17",1024.883,1006.255
"Adam18",0,0
"Adam19",656.019,703.643
"Adam1a",66.416,82.506
"Adam2",4,0
"Adam20",0,0
"Adam21",2,2
"Adam22",116.98,185
"Adam23",124,132
"Adam24",0,0
"Adam28",30.621,53.441
"Adam29",0,0
"Adam3",1,0
"Adam30",0,1
"Adam32",0,0
"Adam33",112,200
"Adam5",4,2
"Adam7",0,0
"Adam8",69.509,78.536
"Adam9",1279.154,1621.532
"Adamdec1",18912.312,15979.119
"Adamts1",260.003,194.262
"Adamts10",178.999,151
"Adamts12",15,22
"Adamts13",13,5.117
"Adamts14",34.001,35
"Adamts15",371.164,713.836
"Adamts16",6,4
"Adamts17",44.105,49.014
"Adamts18",23,9
"Adamts19",36,32
"Adamts2",149.249,269.987
"Adamts20",0,7
"Adamts3",18,8
"Adamts4",86.925,89
"Adamts5",126.202,120.006
"Adamts6",18,17
"Adamts7",33,40.001
"Adamts8",82,81
"Adamts9",71.001,64.001
"Adamtsl1",96.999,129
"Adamtsl2",32,23
"Adamtsl3",191,186.025
"Adamtsl4",210.013,211.874
"Adamtsl5",463.999,364.228
"Adap1",3335.619,2426.332
"Adap2",341.806,201
"Adar",924.157,776.248
"Adarb1",70.39,64.406
"Adarb2",1,1
"Adat1",65.069,47.653
"Adat2",66,66
"Adat3",60.482,78.629
"Adck1",164.145,255.044
"Adck2",386.999,400.929
"Adck5",1004.421,808.839
"Adcy1",141.002,204.949
"Adcy10",1,2
"Adcy2",54,51.997
"Adcy3",175,147.157
"Adcy4",90,106.342
"Adcy5",991.733,1175.225
"Adcy6",4265.871,3512.118
"Adcy7",412.134,399.474
"Adcy8",587.051,488.647
"Adcy9",800.08,665.67
"Adcyap1",12,10
"Adcyap1r1",153.025,244.509
"Add1",5664.571,5198.962
"Add2",39,40
"Add3",4592.49,4331.683
"Adgra1",0,4
"Adgra2",336,333.178
"Adgra3",1343.045,1416.572
"Adgrb1",8,6
"Adgrb2",21,21
"Adgrb3",7,19.009
"Adgrd1",890.164,573.805
"Adgre1",312.332,404.349
"Adgre4",45,35
"Adgre5",1141.044,1191.929
"Adgrf1",3,1
"Adgrf2",1,0
"Adgrf3",1,0
"Adgrf4",1,1
"Adgrf5",827.261,644.246
"Adgrg1",556.72,726.027
"Adgrg2",23,49
"Adgrg3",87.046,93
"Adgrg5",144,81.987
"Adgrg6",494.297,465.047
"Adgrg7",7569.958,4920.654
"Adgrl1",457.275,543.538
"Adgrl2",615.879,724.058
"Adgrl3",122.356,112.025
"Adgrl4",319.025,195.989
"Adgrv1",11.312,12
"Adh1",664.112,877.422
"Adh4",26,3
"Adh5",1367.5,1663.444
"Adh6a",559,287.132
"Adh7",2,2
"Adhfe1",33,39
"Adi1",769.592,806.24
"Adig",3,0
"Adipoq",59.005,40
"Adipor1",3902.629,4406.32
"Adipor2",6592.78,5181.102
"Adk",2134.404,1987.603
"Adm",102,156.421
"Adm2",9,6
"Adnp",235.529,188.263
"Adnp2",597.952,632.26
"Ado",608.403,784.505
"Adora1",57,57
"Adora2a",54,36
"Adora2b",14,53
"Adora3",15.377,26.074
"Adpgk",329.256,404
"Adprh",711.823,875.392
"Adprhl2",276.503,381.118
"Adprm",1005.336,380.001
"Adra1a",5.006,1
"Adra1b",15,3
"Adra1d",1,3
"Adra2a",224,246.992
"Adra2b",43,31
"Adra2c",14,14
"Adrb1",37,38
"Adrb2",70,69
"Adrb3",21,46.999
"Adrbk1",2430.908,3178.901
"Adrbk2",452,449.763
"Adrm1",1405.371,1650.636
"Adsl",537.099,670.973
"Adss",2454.593,3141.981
